Tarih,Kapanış
5 Kasım 2019,274.62
6 Kasım 2019,275.67
7 Kasım 2019,271.28
8 Kasım 2019,270.33
11 Kasım 2019,270.13
12 Kasım 2019,271.03
13 Kasım 2019,270.16
14 Kasım 2019,271.9
15 Kasım 2019,270.87
18 Kasım 2019,271.6
19 Kasım 2019,269.75
20 Kasım 2019,269.84
21 Kasım 2019,268.5
22 Kasım 2019,268.63
25 Kasım 2019,268.62
26 Kasım 2019,270.92
27 Kasım 2019,270.28
28 Kasım 2019,270.13
29 Kasım 2019,271.11
2 Aralık 2019,270.09
3 Aralık 2019,272.81
4 Aralık 2019,272.71
5 Aralık 2019,272.89
6 Aralık 2019,271.8
9 Aralık 2019,272.89
10 Aralık 2019,273.43
11 Aralık 2019,275.13
12 Aralık 2019,273.62
13 Aralık 2019,275.98
16 Aralık 2019,277.62
17 Aralık 2019,279.42
18 Aralık 2019,281.25
19 Aralık 2019,282.73
20 Aralık 2019,282.24
24 Aralık 2019,287
25 Aralık 2019,286.58
26 Aralık 2019,288.36
27 Aralık 2019,289.43
30 Aralık 2019,289.75
31 Aralık 2019,290.39
1 Ocak 2020,290.17
2 Ocak 2020,292.75
3 Ocak 2020,297.58
6 Ocak 2020,300.68
7 Ocak 2020,301.87
8 Ocak 2020,296.7
9 Ocak 2020,292.67
10 Ocak 2020,294.87
13 Ocak 2020,291.97
14 Ocak 2020,292.58
15 Ocak 2020,294.04
16 Ocak 2020,292.63
17 Ocak 2020,294.86
20 Ocak 2020,297.69
21 Ocak 2020,297.45
22 Ocak 2020,296.82
23 Ocak 2020,298.22
24 Ocak 2020,300.36
27 Ocak 2020,302.51
28 Ocak 2020,299.76
29 Ocak 2020,302.21
30 Ocak 2020,303.06
31 Ocak 2020,305.37
3 Şubat 2020,303.4
4 Şubat 2020,299.01
5 Şubat 2020,299.45
6 Şubat 2020,301.55
7 Şubat 2020,303.75
10 Şubat 2020,304.32
11 Şubat 2020,303.47
12 Şubat 2020,304.67
13 Şubat 2020,306.23
14 Şubat 2020,308.09
17 Şubat 2020,307.39
18 Şubat 2020,312.75
19 Şubat 2020,315.56
20 Şubat 2020,317.75
21 Şubat 2020,322.02
24 Şubat 2020,326.22
25 Şubat 2020,322
26 Şubat 2020,323.71
27 Şubat 2020,326.39
28 Şubat 2020,316.36
2 Mart 2020,314.09
3 Mart 2020,321.02
4 Mart 2020,320.25
5 Mart 2020,328.96
6 Mart 2020,327.72
9 Mart 2020,332.18
10 Mart 2020,326.56
11 Mart 2020,326.55
12 Mart 2020,320.31
13 Mart 2020,311.39
16 Mart 2020,313.1
17 Mart 2020,314.57
18 Mart 2020,309.7
19 Mart 2020,309.65
20 Mart 2020,315.83
23 Mart 2020,327.75
24 Mart 2020,335.26
25 Mart 2020,333.93
26 Mart 2020,335.24
27 Mart 2020,338.06
30 Mart 2020,343.3
31 Mart 2020,335.57
1 Nisan 2020,343.12
2 Nisan 2020,343.47
3 Nisan 2020,350.57
6 Nisan 2020,362.4
7 Nisan 2020,358.08
8 Nisan 2020,358.33
9 Nisan 2020,361.31
10 Nisan 2020,363.48
13 Nisan 2020,373.32
14 Nisan 2020,378.48
15 Nisan 2020,381.39
16 Nisan 2020,383.64
17 Nisan 2020,375.25
20 Nisan 2020,378.22
21 Nisan 2020,378.55
22 Nisan 2020,384.78
23 Nisan 2020,387.01
24 Nisan 2020,386.68
27 Nisan 2020,385.04
28 Nisan 2020,383.91
29 Nisan 2020,383.02
30 Nisan 2020,379.11
1 Mayıs 2020,383.51
4 Mayıs 2020,385.63
5 Mayıs 2020,388.17
6 Mayıs 2020,390.32
7 Mayıs 2020,391.51
8 Mayıs 2020,388.03
11 Mayıs 2020,386.15
12 Mayıs 2020,383.31
14 Mayıs 2020,385.13
15 Mayıs 2020,386.97
18 Mayıs 2020,383.74
19 Mayıs 2020,379.97
20 Mayıs 2020,381.86
21 Mayıs 2020,377.05
22 Mayıs 2020,380.16
25 Mayıs 2020,378.46
26 Mayıs 2020,369.98
27 Mayıs 2020,372.36
28 Mayıs 2020,376.45
29 Mayıs 2020,379.24
1 Haziran 2020,381
2 Haziran 2020,372.61
3 Haziran 2020,367.83
4 Haziran 2020,372.34
5 Haziran 2020,366.8
8 Haziran 2020,370.86
9 Haziran 2020,374.98
10 Haziran 2020,378.89
11 Haziran 2020,379.96
12 Haziran 2020,379.36
15 Haziran 2020,379.01
16 Haziran 2020,379.88
17 Haziran 2020,379.79
18 Haziran 2020,379.93
19 Haziran 2020,384.01
22 Haziran 2020,386.38
23 Haziran 2020,389.42
24 Haziran 2020,388.32
25 Haziran 2020,388.77
26 Haziran 2020,390.68
29 Haziran 2020,390.77
30 Haziran 2020,392.48
1 Temmuz 2020,389.85
2 Temmuz 2020,391.1
3 Temmuz 2020,392.14
6 Temmuz 2020,393.69
7 Temmuz 2020,395.87
8 Temmuz 2020,399.15
9 Temmuz 2020,397.92
10 Temmuz 2020,396.96
13 Temmuz 2020,397.64
14 Temmuz 2020,399.38
15 Temmuz 2020,399.16
16 Temmuz 2020,396.36
17 Temmuz 2020,399.12
20 Temmuz 2020,400.95
21 Temmuz 2020,403.95
22 Temmuz 2020,412.29
23 Temmuz 2020,415.41
24 Temmuz 2020,418.84
27 Temmuz 2020,428.6
28 Temmuz 2020,436.68
29 Temmuz 2020,442.03
30 Temmuz 2020,439.63
31 Temmuz 2020,443.42
3 Ağustos 2020,442.2
4 Ağustos 2020,448.08
5 Ağustos 2020,461.8
6 Ağustos 2020,479.65
7 Ağustos 2020,477.15
8 Ağustos 2020,477.15
10 Ağustos 2020,478.48
11 Ağustos 2020,443.05
12 Ağustos 2020,451.95
13 Ağustos 2020,461.05
14 Ağustos 2020,460.11
15 Ağustos 2020,460.11
17 Ağustos 2020,471.44
18 Ağustos 2020,474.77
19 Ağustos 2020,452.11
20 Ağustos 2020,456.91
21 Ağustos 2020,457.82
24 Ağustos 2020,457.61
25 Ağustos 2020,458.26
26 Ağustos 2020,462.62
27 Ağustos 2020,456.55
28 Ağustos 2020,463.31
29 Ağustos 2020,463.18
31 Ağustos 2020,464.91
2 Eylül 2020,461.32
3 Eylül 2020,461.56
4 Eylül 2020,462.32
5 Eylül 2020,462.35
7 Eylül 2020,462.52
8 Eylül 2020,464.85
9 Eylül 2020,468.57
10 Eylül 2020,466.23
11 Eylül 2020,466.23
12 Eylül 2020,466.15
14 Eylül 2020,470.74
15 Eylül 2020,470.61
16 Eylül 2020,472.69
17 Eylül 2020,471.72
18 Eylül 2020,473.82
19 Eylül 2020,473.82
21 Eylül 2020,469.26
22 Eylül 2020,468.1
23 Eylül 2020,461.36
24 Eylül 2020,457.92
25 Eylül 2020,458.37
26 Eylül 2020,458.39
28 Eylül 2020,471.83
29 Eylül 2020,476.98
30 Eylül 2020,467.54
1 Ekim 2020,474.56
2 Ekim 2020,473.84
3 Ekim 2020,473.84
5 Ekim 2020,477.65
6 Ekim 2020,470.8
7 Ekim 2020,478.36
8 Ekim 2020,483.65
9 Ekim 2020,487.57
10 Ekim 2020,487.57
12 Ekim 2020,487.24
13 Ekim 2020,481.57
14 Ekim 2020,483.6
15 Ekim 2020,486.84
16 Ekim 2020,484.48
17 Ekim 2020,484.48
19 Ekim 2020,482.32
20 Ekim 2020,482
21 Ekim 2020,483.43
22 Ekim 2020,486.01
23 Ekim 2020,487.18
24 Ekim 2020,487.18
26 Ekim 2020,494.35
27 Ekim 2020,502.13
28 Ekim 2020,498.28
30 Ekim 2020,504.19
31 Ekim 2020,504.19
2 Kasım 2020,514.36
3 Kasım 2020,515.65
4 Kasım 2020,515.76
5 Kasım 2020,527.49
6 Kasım 2020,534.77
7 Kasım 2020,534.99
9 Kasım 2020,483.04
10 Kasım 2020,491.26
11 Kasım 2020,467.15
12 Kasım 2020,464.08
13 Kasım 2020,466.22
14 Kasım 2020,466.22
16 Kasım 2020,467.89
17 Kasım 2020,465.81
18 Kasım 2020,463.9
19 Kasım 2020,453.34
20 Kasım 2020,459.09
21 Kasım 2020,459.09
23 Kasım 2020,465.6
24 Kasım 2020,465.29
25 Kasım 2020,461.98
26 Kasım 2020,457.66
27 Kasım 2020,449.02
30 Kasım 2020,446.99
1 Aralık 2020,456.86
2 Aralık 2020,462.18
3 Aralık 2020,460.41
4 Aralık 2020,461.43
5 Aralık 2020,461.43
7 Aralık 2020,468.03
8 Aralık 2020,470.31
9 Aralık 2020,462.15
10 Aralık 2020,465.7
11 Aralık 2020,463.62
12 Aralık 2020,463.62
14 Aralık 2020,461.52
15 Aralık 2020,467.22
16 Aralık 2020,467.63
17 Aralık 2020,466.69
18 Aralık 2020,463.26
19 Aralık 2020,461.81
21 Aralık 2020,460.9
22 Aralık 2020,458.32
23 Aralık 2020,460.06
24 Aralık 2020,458.41
25 Aralık 2020,458.44
28 Aralık 2020,448.13
29 Aralık 2020,446.8
30 Aralık 2020,449.54
31 Aralık 2020,454.36
1 Ocak 2021,452.92
4 Ocak 2021,463.79
5 Ocak 2021,462.98
6 Ocak 2021,450.65
7 Ocak 2021,452.05
8 Ocak 2021,438.05
9 Ocak 2021,438.05
11 Ocak 2021,443.93
12 Ocak 2021,444.83
13 Ocak 2021,439.96
14 Ocak 2021,437.19
15 Ocak 2021,437.79
16 Ocak 2021,437.79
18 Ocak 2021,441.47
19 Ocak 2021,441.82
20 Ocak 2021,446.08
21 Ocak 2021,442.71
22 Ocak 2021,441.78
23 Ocak 2021,441.78
25 Ocak 2021,442.12
26 Ocak 2021,437.17
27 Ocak 2021,438.79
28 Ocak 2021,434.3
29 Ocak 2021,433.5
30 Ocak 2021,433.5
1 Şubat 2021,429.53
2 Şubat 2021,424.97
3 Şubat 2021,422.1
4 Şubat 2021,411.49
5 Şubat 2021,411.1
6 Şubat 2021,411.1
8 Şubat 2021,416.44
9 Şubat 2021,417.37
10 Şubat 2021,418.17
11 Şubat 2021,412.58
12 Şubat 2021,412.01
13 Şubat 2021,412.01
15 Şubat 2021,406.98
16 Şubat 2021,403.64
17 Şubat 2021,397.46
18 Şubat 2021,397.42
19 Şubat 2021,399.99
20 Şubat 2021,400
22 Şubat 2021,408.24
23 Şubat 2021,412.41
24 Şubat 2021,415.55
25 Şubat 2021,418.42
26 Şubat 2021,412.18
27 Şubat 2021,412.22
1 Mart 2021,404.38
2 Mart 2021,410.11
3 Mart 2021,410.44
4 Mart 2021,409.33
5 Mart 2021,411.24
6 Mart 2021,411.24
8 Mart 2021,418.5
9 Mart 2021,420.07
10 Mart 2021,416.35
11 Mart 2021,414.33
12 Mart 2021,419.29
13 Mart 2021,419.29
15 Mart 2021,419.41
16 Mart 2021,416.71
17 Mart 2021,420.49
18 Mart 2021,408.77
19 Mart 2021,404.72
20 Mart 2021,404.72
22 Mart 2021,435.45
23 Mart 2021,441.46
24 Mart 2021,442.58
25 Mart 2021,440.87
26 Mart 2021,452.43
27 Mart 2021,452.43
29 Mart 2021,451.21
30 Mart 2021,451.36
31 Mart 2021,452.37
1 Nisan 2021,450.8
2 Nisan 2021,454.45
5 Nisan 2021,450.2
6 Nisan 2021,455.74
7 Nisan 2021,455.14
8 Nisan 2021,459.08
9 Nisan 2021,457.29
10 Nisan 2021,457.31
13 Nisan 2021,454.83
14 Nisan 2021,450.23
15 Nisan 2021,454.14
16 Nisan 2021,460.52
17 Nisan 2021,460.43
19 Nisan 2021,460.66
20 Nisan 2021,463.45
21 Nisan 2021,471.67
22 Nisan 2021,476.65
23 Nisan 2021,478.77
26 Nisan 2021,473.65
27 Nisan 2021,468.66
28 Nisan 2021,468.96
29 Nisan 2021,467.26
30 Nisan 2021,471.27
1 Mayıs 2021,471.21
3 Mayıs 2021,475.35
4 Mayıs 2021,475.96
5 Mayıs 2021,477.56
6 Mayıs 2021,482.86
7 Mayıs 2021,484.8
8 Mayıs 2021,484.8
10 Mayıs 2021,488.36
11 Mayıs 2021,488.96
12 Mayıs 2021,491.39
13 Mayıs 2021,499.29
14 Mayıs 2021,501.11
17 Mayıs 2021,498.92
18 Mayıs 2021,502.13
19 Mayıs 2021,505.66
20 Mayıs 2021,505.78
21 Mayıs 2021,509.09
24 Mayıs 2021,507.28
25 Mayıs 2021,516.64
26 Mayıs 2021,515.65
27 Mayıs 2021,518.16
28 Mayıs 2021,524.23
31 Mayıs 2021,520.49
1 Haziran 2021,520.52
2 Haziran 2021,527.17
3 Haziran 2021,523.41
4 Haziran 2021,526.95
7 Haziran 2021,525.91
8 Haziran 2021,523.7
9 Haziran 2021,521.57
10 Haziran 2021,514.32
11 Haziran 2021,506.72
14 Haziran 2021,508.14
15 Haziran 2021,511.43
16 Haziran 2021,501.9
17 Haziran 2021,497.11
18 Haziran 2021,495.64
21 Haziran 2021,502.76
22 Haziran 2021,494.67
23 Haziran 2021,494.17
24 Haziran 2021,497.03
25 Haziran 2021,502
26 Haziran 2021,502.03
28 Haziran 2021,496.5
29 Haziran 2021,494.45
30 Haziran 2021,495.42
1 Temmuz 2021,494.49
2 Temmuz 2021,498.76
5 Temmuz 2021,499.06
6 Temmuz 2021,502.04
7 Temmuz 2021,503.57
8 Temmuz 2021,503.87
9 Temmuz 2021,503.37
10 Temmuz 2021,503.43
12 Temmuz 2021,501.44
13 Temmuz 2021,500.99
14 Temmuz 2021,504.34
15 Temmuz 2021,503.64
16 Temmuz 2021,496.25
17 Temmuz 2021,496.26
19 Temmuz 2021,500.34
20 Temmuz 2021,498.49
21 Temmuz 2021,496.29
22 Temmuz 2021,497.47
23 Temmuz 2021,495.46
24 Temmuz 2021,495.48
26 Temmuz 2021,494.12
27 Temmuz 2021,495.03
28 Temmuz 2021,496.57
29 Temmuz 2021,496.77
30 Temmuz 2021,492.54
2 Ağustos 2021,486.67
3 Ağustos 2021,489.1
4 Ağustos 2021,493.6
5 Ağustos 2021,494.37
6 Ağustos 2021,488.29
7 Ağustos 2021,488.27
9 Ağustos 2021,479.91
10 Ağustos 2021,477.9
12 Ağustos 2021,481.5
13 Ağustos 2021,487.1
14 Ağustos 2021,487.34
16 Ağustos 2021,485.73